year,district,crop,season,price
2023,Adilabad,Moong(Green Gram),Kharif,5368
2023,Adilabad,Moong(Green Gram),Rabi,6020
2024,Adilabad,Moong(Green Gram),Kharif,5368
2024,Adilabad,Moong(Green Gram),Rabi,6201
2013,Adilabad,Mustard,Rabi,2944
2014,Adilabad,Mustard,Rabi,2944
2015,Adilabad,Mustard,Rabi,2944
2016,Adilabad,Mustard,Rabi,2944
2017,Adilabad,Mustard,Rabi,3484
2018,Adilabad,Mustard,Rabi,2903
2019,Adilabad,Mustard,Rabi,2903
2020,Adilabad,Mustard,Rabi,2903
2021,Adilabad,Mustard,Rabi,2903
2022,Adilabad,Mustard,Rabi,2903
2023,Adilabad,Mustard,Rabi,4521
2024,Adilabad,Mustard,Rabi,4521
2013,Adilabad,Onion,Kharif,2000
2013,Adilabad,Onion,Rabi,2506
2014,Adilabad,Onion,Kharif,2000
2014,Adilabad,Onion,Rabi,2506
2015,Adilabad,Onion,Kharif,2000
2015,Adilabad,Onion,Rabi,2506
2016,Adilabad,Onion,Kharif,2000
2016,Adilabad,Onion,Rabi,2506
2017,Adilabad,Onion,Kharif,2000
2017,Adilabad,Onion,Rabi,2506
2018,Adilabad,Onion,Kharif,2000
2018,Adilabad,Onion,Rabi,2506
2019,Adilabad,Onion,Kharif,2000
2019,Adilabad,Onion,Rabi,2506
2020,Adilabad,Onion,Kharif,2000
2020,Adilabad,Onion,Rabi,2506
2021,Adilabad,Onion,Kharif,902
2021,Adilabad,Onion,Rabi,2506
2022,Adilabad,Onion,Kharif,5000
2022,Adilabad,Onion,Rabi,900
2023,Adilabad,Onion,Kharif,2000
2023,Adilabad,Onion,Rabi,450
2024,Adilabad,Onion,Kharif,2000
2024,Adilabad,Onion,Rabi,3214
2013,Adilabad,Potato,Kharif,3000
2013,Adilabad,Potato,Rabi,1800
2013,Adilabad,Potato,Whole Year,1800
2014,Adilabad,Potato,Kharif,3000
2014,Adilabad,Potato,Rabi,1800
2014,Adilabad,Potato,Whole Year,1800
2015,Adilabad,Potato,Kharif,3000
2015,Adilabad,Potato,Rabi,1800
2015,Adilabad,Potato,Whole Year,1800
2016,Adilabad,Potato,Kharif,3000
2016,Adilabad,Potato,Rabi,1800
2016,Adilabad,Potato,Whole Year,1800
2017,Adilabad,Potato,Kharif,3000
2017,Adilabad,Potato,Rabi,1800
2017,Adilabad,Potato,Whole Year,1800
2018,Adilabad,Potato,Kharif,3000
2018,Adilabad,Potato,Rabi,1800
2018,Adilabad,Potato,Whole Year,1800
2019,Adilabad,Potato,Kharif,3000
2019,Adilabad,Potato,Rabi,1800
2019,Adilabad,Potato,Whole Year,1800
2020,Adilabad,Potato,Kharif,3000
2020,Adilabad,Potato,Rabi,1800
2020,Adilabad,Potato,Whole Year,1800
2021,Adilabad,Potato,Kharif,3000
2021,Adilabad,Potato,Rabi,1800
2021,Adilabad,Potato,Whole Year,1800
2022,Adilabad,Potato,Kharif,3000
2022,Adilabad,Potato,Rabi,2500
2022,Adilabad,Potato,Whole Year,2514
2023,Adilabad,Potato,Kharif,3000
2023,Adilabad,Potato,Rabi,2500
2023,Adilabad,Potato,Whole Year,2514
2024,Adilabad,Potato,Kharif,3000
2024,Adilabad,Potato,Rabi,3733
2024,Adilabad,Potato,Whole Year,3774
2013,Adilabad,Rice,Rabi,3000
2014,Adilabad,Rice,Rabi,3000
2015,Adilabad,Rice,Rabi,3000
2016,Adilabad,Rice,Rabi,3000
2017,Adilabad,Rice,Rabi,3000
2018,Adilabad,Rice,Rabi,3000
2019,Adilabad,Rice,Rabi,3000
2020,Adilabad,Rice,Rabi,3000
2021,Adilabad,Rice,Rabi,3000
2022,Adilabad,Rice,Rabi,3000
2023,Adilabad,Rice,Rabi,3000
2024,Adilabad,Rice,Rabi,3000
2013,Adilabad,Safflower,Rabi,7700
2014,Adilabad,Safflower,Rabi,7700
2015,Adilabad,Safflower,Rabi,7700
2016,Adilabad,Safflower,Rabi,7700
2017,Adilabad,Safflower,Rabi,2345
2018,Adilabad,Safflower,Rabi,2802
2019,Adilabad,Safflower,Rabi,2802
2020,Adilabad,Safflower,Rabi,2802
2021,Adilabad,Safflower,Rabi,2802
2022,Adilabad,Safflower,Rabi,2802
2023,Adilabad,Safflower,Rabi,2802
2024,Adilabad,Safflower,Rabi,2802
2013,Adilabad,Sesamum,Kharif,6104
2013,Adilabad,Sesamum,Rabi,5801
2014,Adilabad,Sesamum,Kharif,6104
2014,Adilabad,Sesamum,Rabi,5801
2015,Adilabad,Sesamum,Kharif,6104
2015,Adilabad,Sesamum,Rabi,5801
2016,Adilabad,Sesamum,Kharif,6104
2016,Adilabad,Sesamum,Rabi,5801
2017,Adilabad,Sesamum,Kharif,6104
2017,Adilabad,Sesamum,Rabi,5801
2018,Adilabad,Sesamum,Kharif,9575
2018,Adilabad,Sesamum,Rabi,8123
2019,Adilabad,Sesamum,Kharif,9575
2019,Adilabad,Sesamum,Rabi,8123
2020,Adilabad,Sesamum,Kharif,9575
2020,Adilabad,Sesamum,Rabi,8123
2021,Adilabad,Sesamum,Kharif,9575
2021,Adilabad,Sesamum,Rabi,8123
2022,Adilabad,Sesamum,Kharif,9575
2022,Adilabad,Sesamum,Rabi,8123
2023,Adilabad,Sesamum,Kharif,15871
2023,Adilabad,Sesamum,Rabi,13619
2024,Adilabad,Sesamum,Kharif,14581
2024,Adilabad,Sesamum,Rabi,13031
2013,Adilabad,Soyabean,Kharif,3133
2013,Adilabad,Soyabean,Rabi,3702
2014,Adilabad,Soyabean,Kharif,3166
2014,Adilabad,Soyabean,Rabi,3702
2015,Adilabad,Soyabean,Kharif,3349
2015,Adilabad,Soyabean,Rabi,3039
2016,Adilabad,Soyabean,Kharif,2687
2016,Adilabad,Soyabean,Rabi,3039
2017,Adilabad,Soyabean,Kharif,2876
2017,Adilabad,Soyabean,Rabi,2640
2018,Adilabad,Soyabean,Kharif,3064
2018,Adilabad,Soyabean,Rabi,2945
2019,Adilabad,Soyabean,Kharif,3716
2019,Adilabad,Soyabean,Rabi,3616
2020,Adilabad,Soyabean,Kharif,3972
2020,Adilabad,Soyabean,Rabi,3616
2021,Adilabad,Soyabean,Kharif,5546
2021,Adilabad,Soyabean,Rabi,3616
2022,Adilabad,Soyabean,Kharif,5394
2022,Adilabad,Soyabean,Rabi,6755
2023,Adilabad,Soyabean,Kharif,4916
2023,Adilabad,Soyabean,Rabi,4998
2024,Adilabad,Soyabean,Kharif,4630
2024,Adilabad,Soyabean,Rabi,4464
2013,Adilabad,Sunflower,Rabi,7700
2014,Adilabad,Sunflower,Rabi,7700
2015,Adilabad,Sunflower,Rabi,7700
2016,Adilabad,Sunflower,Rabi,7700
2017,Adilabad,Sunflower,Rabi,2226
2018,Adilabad,Sunflower,Rabi,2226
2019,Adilabad,Sunflower,Rabi,2226
2020,Adilabad,Sunflower,Rabi,2226
2021,Adilabad,Sunflower,Rabi,2226
2022,Adilabad,Sunflower,Rabi,2226
2023,Adilabad,Sunflower,Rabi,3625
2024,Adilabad,Sunflower,Rabi,3625
2013,Adilabad,Turmeric,Kharif,6311
2013,Adilabad,Turmeric,Rabi,12688
2014,Adilabad,Turmeric,Kharif,6311
2014,Adilabad,Turmeric,Rabi,12688
2015,Adilabad,Turmeric,Kharif,6311
2015,Adilabad,Turmeric,Rabi,12688
2016,Adilabad,Turmeric,Kharif,6311
2016,Adilabad,Turmeric,Rabi,12688
2017,Adilabad,Turmeric,Kharif,6311
2017,Adilabad,Turmeric,Rabi,4926
2018,Adilabad,Turmeric,Kharif,6311
2018,Adilabad,Turmeric,Rabi,6330
2019,Adilabad,Turmeric,Kharif,6311
2019,Adilabad,Turmeric,Rabi,5605
2020,Adilabad,Turmeric,Kharif,6311
2020,Adilabad,Turmeric,Rabi,5605
2021,Adilabad,Turmeric,Kharif,6311
2021,Adilabad,Turmeric,Rabi,5605
2022,Adilabad,Turmeric,Kharif,6311
2022,Adilabad,Turmeric,Rabi,6190
2023,Adilabad,Turmeric,Kharif,6311
2023,Adilabad,Turmeric,Rabi,5067
2024,Adilabad,Turmeric,Kharif,6311
2024,Adilabad,Turmeric,Rabi,11837
2013,Adilabad,Urad,Kharif,7341
2013,Adilabad,Urad,Rabi,4365
2014,Adilabad,Urad,Kharif,7341
2014,Adilabad,Urad,Rabi,4365
2015,Adilabad,Urad,Kharif,7341
2015,Adilabad,Urad,Rabi,4365
2016,Adilabad,Urad,Kharif,7341
2016,Adilabad,Urad,Rabi,4365
2017,Adilabad,Urad,Kharif,4656
2017,Adilabad,Urad,Rabi,4365
2018,Adilabad,Urad,Kharif,3920
2018,Adilabad,Urad,Rabi,4365
2019,Adilabad,Urad,Kharif,4922
2019,Adilabad,Urad,Rabi,4365
2020,Adilabad,Urad,Kharif,4922
2020,Adilabad,Urad,Rabi,4365
2021,Adilabad,Urad,Kharif,3329
2021,Adilabad,Urad,Rabi,4365
2022,Adilabad,Urad,Kharif,3329
2022,Adilabad,Urad,Rabi,4365
2023,Adilabad,Urad,Kharif,3631
2023,Adilabad,Urad,Rabi,4365
2024,Adilabad,Urad,Kharif,3631
2024,Adilabad,Urad,Rabi,6917
2013,Adilabad,Wheat,Kharif,1673
2013,Adilabad,Wheat,Rabi,1439
2014,Adilabad,Wheat,Kharif,1673
2014,Adilabad,Wheat,Rabi,1439
2015,Adilabad,Wheat,Kharif,1673
2015,Adilabad,Wheat,Rabi,1439
2016,Adilabad,Wheat,Kharif,1673
2016,Adilabad,Wheat,Rabi,1439
2017,Adilabad,Wheat,Kharif,1673
2017,Adilabad,Wheat,Rabi,1651
2018,Adilabad,Wheat,Kharif,1673
2018,Adilabad,Wheat,Rabi,1726
2019,Adilabad,Wheat,Kharif,1673
2019,Adilabad,Wheat,Rabi,1726
2020,Adilabad,Wheat,Kharif,1673
2020,Adilabad,Wheat,Rabi,1726
2021,Adilabad,Wheat,Kharif,1673
2021,Adilabad,Wheat,Rabi,1726
