district,crop,season,yield
Rangareddi,Onion,Rabi,22.02
Rangareddi,Potato,Kharif,18.14
Rangareddi,Potato,Whole Year,16.67
Rangareddi,Oilseeds total,Kharif,0.8
Rangareddi,Onion,Kharif,15.74
Rangareddi,Potato,Rabi,18.19
Sangareddy,Arhar/Tur,Rabi,0.97
Sangareddy,Arhar/Tur,Kharif,0.74
Sangareddy,Bajra,Kharif,0.61
Sangareddy,Bajra,Rabi,0.68
Sangareddy,Banana,Kharif,50.74
Sangareddy,Castor seed,Kharif,0.95
Sangareddy,Coriander,Kharif,0.71
Sangareddy,Cashewnut,Kharif,0.67
Sangareddy,Castor seed,Rabi,0.99
Sangareddy,Coriander,Rabi,0.73
Sangareddy,Cowpea(Lobia),Rabi,0.83
Sangareddy,Dry chillies,Rabi,5.71
Sangareddy,Cowpea(Lobia),Kharif,0.84
Sangareddy,Dry chillies,Kharif,4.45
Sangareddy,Garlic,Kharif,3.0
Sangareddy,Ginger,Kharif,8.08
Sangareddy,Garlic,Rabi,2.36
Sangareddy,Ginger,Rabi,9.18
Sangareddy,Gram,Rabi,1.33
Rajanna,Onion,Rabi,30.09
Rajanna,Potato,Rabi,24.0
Rajanna,Onion,Kharif,17.63
Rajanna,Ragi,Kharif,2.0
Rajanna,Ragi,Rabi,1.5
Rajanna,Rice,Kharif,3.69
Rajanna,Rice,Rabi,3.79
Rajanna,Safflower,Rabi,1.0
Rajanna,Sesamum,Rabi,0.62
Rajanna,Small millets,Rabi,1.0
Rajanna,Soyabean,Rabi,1.75
Rajanna,Sugarcane,Kharif,89.26
Rajanna,Safflower,Kharif,1.0
Rajanna,Soyabean,Kharif,1.76
Rajanna,Sunflower,Rabi,2.04
Rajanna,Tobacco,Rabi,3.0
Adilabad,Banana,Kharif,49.97
Adilabad,Cashewnut,Kharif,0.61
Adilabad,Castor seed,Kharif,0.85
Adilabad,Coriander,Rabi,1.33
Adilabad,Castor seed,Rabi,0.97
Adilabad,Coriander,Kharif,1.0
Adilabad,Coriander,Whole Year,0.49
Adilabad,Cowpea(Lobia),Kharif,0.88
Adilabad,Cowpea(Lobia),Rabi,1.7
Adilabad,Dry chillies,Kharif,3.9
Adilabad,Dry chillies,Rabi,4.49
Adilabad,Garlic,Rabi,3.0
Adilabad,Ginger,Rabi,9.0
Adilabad,Garlic,Kharif,4.0
Adilabad,Ginger,Kharif,7.89
Adilabad,Gram,Kharif,1.5
Adilabad,Groundnut,Kharif,1.79
Adilabad,Gram,Rabi,1.54
Adilabad,Groundnut,Rabi,2.11
Adilabad,Horse-gram,Rabi,0.43
Adilabad,Jowar,Rabi,1.77
Adilabad,Jowar,Kharif,0.81
Adilabad,Maize,Kharif,3.78
Adilabad,Moong(Green Gram),Kharif,0.62
Adilabad,Linseed,Rabi,0.49
Adilabad,Maize,Rabi,7.19
Adilabad,Moong(Green Gram),Rabi,0.83
Adilabad,Oilseeds total,Kharif,1.0
Adilabad,Oilseeds total,Rabi,0.83
Adilabad,Onion,Kharif,17.71
Adilabad,Onion,Rabi,30.1
Adilabad,Other Kharif pulses,Kharif,0.29
Adilabad,Other Rabi pulses,Rabi,0.27
Adilabad,Potato,Rabi,10.0
Adilabad,Ragi,Rabi,0.82
Adilabad,Rapeseed &Mustard,Rabi,1.19
Adilabad,Rice,Rabi,3.4
Adilabad,Safflower,Rabi,0.89
Adilabad,Rice,Kharif,2.97
Adilabad,Sesamum,Kharif,0.14
Adilabad,Sesamum,Rabi,0.54
Adilabad,Small millets,Rabi,1.0
Adilabad,Soyabean,Rabi,1.46
Adilabad,Sugarcane,Kharif,87.82
Adilabad,Sunflower,Rabi,2.72
Adilabad,Sweet potato,Rabi,11.06
Adilabad,Tobacco,Rabi,3.21
Adilabad,Small millets,Kharif,1.72
Adilabad,Soyabean,Kharif,1.34
Adilabad,Tobacco,Kharif,3.78
Adilabad,Turmeric,Kharif,6.05
Adilabad,Urad,Kharif,0.62
Adilabad,Turmeric,Rabi,7.0
Adilabad,Urad,Rabi,1.16
Adilabad,Wheat,Kharif,2.05
Adilabad,Wheat,Rabi,2.61
Bhadradri,Arhar/Tur,Kharif,0.86
Bhadradri,Arhar/Tur,Rabi,0.87
Bhadradri,Bajra,Rabi,0.93
Bhadradri,Banana,Kharif,46.61
Bhadradri,Cashewnut,Kharif,0.43
Bhadradri,Castor seed,Rabi,1.0
Bhadradri,Cowpea(Lobia),Kharif,0.91
Bhadradri,Dry chillies,Kharif,6.17
Bhadradri,Cowpea(Lobia),Rabi,1.13
Bhadradri,Dry chillies,Rabi,7.36
Bhadradri,Ginger,Kharif,9.0
Bhadradri,Gram,Rabi,1.73
Bhadradri,Groundnut,Rabi,3.53
Bhadradri,Horse-gram,Rabi,1.91
Bhadradri,Jowar,Rabi,1.88
Bhadradri,Groundnut,Kharif,2.23
Bhadradri,Jowar,Kharif,0.93
Bhadradri,Maize,Kharif,3.92
Bhadradri,Maize,Rabi,7.32
Bhadradri,Moong(Green Gram),Kharif,0.46
Bhadradri,Moong(Green Gram),Rabi,0.9
Bhadradri,Onion,Rabi,30.17
Bhadradri,Ragi,Rabi,1.67
Bhadradri,Rice,Rabi,2.87
Bhadradri,Onion,Kharif,16.0
Bhadradri,Ragi,Kharif,1.5
Bhadradri,Rice,Kharif,3.38
Bhadradri,Safflower,Rabi,1.0
Bhadradri,Sesamum,Rabi,0.69
Bhadradri,Small millets,Rabi,1.0
Bhadradri,Soyabean,Rabi,2.0
