year,district,crop,season,yield
2024,Kamareddy,Arhar/Tur,Rabi,1.14
2024,Kamareddy,Bajra,Kharif,0.83
2024,Kamareddy,Bajra,Rabi,0.9
2024,Kamareddy,Banana,Kharif,49.75
2024,Kamareddy,Cashewnut,Kharif,0.5
2024,Kamareddy,Castor seed,Kharif,0.71
2024,Kamareddy,Castor seed,Rabi,1.0
2024,Kamareddy,Coriander,Kharif,1.0
2024,Kamareddy,Coriander,Rabi,0.75
2024,Kamareddy,Cowpea(Lobia),Kharif,0.66
2024,Kamareddy,Cowpea(Lobia),Rabi,0.9
2024,Kamareddy,Dry chillies,Kharif,5.13
2024,Kamareddy,Dry chillies,Rabi,6.24
2024,Kamareddy,Garlic,Rabi,4.5
2024,Kamareddy,Ginger,Kharif,9.21
2024,Kamareddy,Ginger,Rabi,9.0
2024,Kamareddy,Gram,Rabi,1.55
2024,Kamareddy,Groundnut,Kharif,1.91
2024,Kamareddy,Groundnut,Rabi,1.85
2024,Kamareddy,Horse-gram,Kharif,1.0
2024,Kamareddy,Horse-gram,Rabi,1.16
2024,Kamareddy,Jowar,Kharif,0.89
2024,Kamareddy,Jowar,Rabi,2.77
2024,Kamareddy,Maize,Kharif,5.32
2024,Kamareddy,Maize,Rabi,6.5
2024,Kamareddy,Moong(Green Gram),Kharif,0.84
2024,Kamareddy,Moong(Green Gram),Rabi,0.92
2024,Kamareddy,Onion,Kharif,16.69
2024,Kamareddy,Onion,Rabi,24.94
2024,Kamareddy,Potato,Rabi,18.19
2024,Kamareddy,Ragi,Kharif,1.52
2024,Kamareddy,Rice,Kharif,3.79
2024,Kamareddy,Rice,Rabi,3.95
2024,Kamareddy,Safflower,Rabi,0.62
2024,Kamareddy,Sesamum,Kharif,0.17
2024,Kamareddy,Sesamum,Rabi,0.48
2024,Kamareddy,Small millets,Kharif,1.35
2024,Kamareddy,Soyabean,Kharif,1.53
2024,Kamareddy,Soyabean,Rabi,1.4
2024,Kamareddy,Sugarcane,Kharif,86.13
2024,Kamareddy,Sunflower,Kharif,1.36
2024,Kamareddy,Sunflower,Rabi,2.04
2024,Kamareddy,Sweet potato,Rabi,9.49
2024,Kamareddy,Tobacco,Kharif,2.64
2024,Kamareddy,Tobacco,Rabi,3.78
2024,Kamareddy,Turmeric,Kharif,6.66
2024,Kamareddy,Turmeric,Rabi,7.71
2024,Kamareddy,Urad,Kharif,0.89
2024,Kamareddy,Urad,Rabi,1.43
2024,Kamareddy,Wheat,Rabi,1.69
2024,Karimnagar,Arhar/Tur,Kharif,0.69
2024,Karimnagar,Arhar/Tur,Rabi,0.58
2024,Karimnagar,Bajra,Kharif,1.0
2024,Karimnagar,Bajra,Rabi,0.97
2024,Karimnagar,Banana,Kharif,49.98
2024,Karimnagar,Banana,Whole Year,31.14
2024,Karimnagar,Castor seed,Kharif,0.69
2024,Karimnagar,Castor seed,Rabi,0.96
2024,Karimnagar,Coriander,Kharif,0.75
2024,Karimnagar,Coriander,Rabi,0.7
2024,Karimnagar,Coriander,Whole Year,0.49
2024,Karimnagar,Cowpea(Lobia),Kharif,0.83
2024,Karimnagar,Cowpea(Lobia),Rabi,1.44
2024,Karimnagar,Dry chillies,Kharif,4.34
2024,Karimnagar,Dry chillies,Rabi,5.1
2024,Karimnagar,Garlic,Rabi,3.76
2024,Karimnagar,Ginger,Kharif,7.81
2024,Karimnagar,Ginger,Rabi,6.5
2024,Karimnagar,Gram,Kharif,1.35
2024,Karimnagar,Gram,Rabi,1.28
2024,Karimnagar,Groundnut,Kharif,1.72
2024,Karimnagar,Groundnut,Rabi,2.1
2024,Karimnagar,Horse-gram,Kharif,1.23
2024,Karimnagar,Horse-gram,Rabi,1.22
2024,Karimnagar,Jowar,Kharif,0.76
2024,Karimnagar,Jowar,Rabi,2.31
2024,Karimnagar,Maize,Kharif,5.2
2024,Karimnagar,Maize,Rabi,6.64
2024,Karimnagar,Moong(Green Gram),Kharif,0.59
2024,Karimnagar,Moong(Green Gram),Rabi,0.6
2024,Karimnagar,Oilseeds total,Kharif,1.27
2024,Karimnagar,Oilseeds total,Rabi,1.09
2024,Karimnagar,Onion,Kharif,17.8
2024,Karimnagar,Onion,Rabi,30.12
2024,Karimnagar,Other Kharif pulses,Kharif,0.4
2024,Karimnagar,Other Rabi pulses,Rabi,1.61
2024,Karimnagar,Rapeseed &Mustard,Rabi,1.37
2024,Karimnagar,Rice,Kharif,3.36
2024,Karimnagar,Rice,Rabi,3.76
2024,Karimnagar,Safflower,Rabi,1.0
2024,Karimnagar,Sesamum,Kharif,0.22
2024,Karimnagar,Sesamum,Rabi,0.56
2024,Karimnagar,Small millets,Kharif,1.12
2024,Karimnagar,Soyabean,Kharif,1.56
2024,Karimnagar,Soyabean,Rabi,1.67
2024,Karimnagar,Sugarcane,Kharif,80.31
2024,Karimnagar,Sunflower,Kharif,3.03
2024,Karimnagar,Sunflower,Rabi,2.04
2024,Karimnagar,Sweet potato,Kharif,9.57
2024,Karimnagar,Sweet potato,Rabi,11.14
2024,Karimnagar,Tobacco,Kharif,4.02
2024,Karimnagar,Tobacco,Rabi,3.78
