district,crop,season,price
Adilabad,Coriander,Rabi,8234.84
Adilabad,Coriander,Whole Year,9047.6
Adilabad,Cowpea(Lobia),Rabi,2974.04
Adilabad,Dry chillies,Kharif,10478.0
Adilabad,Dry chillies,Rabi,5400.0
Adilabad,Garlic,Rabi,3103.0
Adilabad,Ginger,Kharif,587.0
Adilabad,Gram,Kharif,4254.13
Adilabad,Gram,Rabi,4281.43
Adilabad,Groundnut,Rabi,4430.55
Adilabad,Jowar,Kharif,1951.06
Adilabad,Maize,Kharif,1793.32
Adilabad,Jowar,Rabi,1917.67
Adilabad,Maize,Rabi,1643.86
Adilabad,Moong(Green Gram),Rabi,7230.26
Adilabad,Onion,Rabi,1846.21
Adilabad,Moong(Green Gram),Kharif,4531.73
Adilabad,Mustard,Rabi,3722.45
Adilabad,Onion,Kharif,2983.58
Adilabad,Potato,Rabi,2779.78
Adilabad,Potato,Kharif,3000.0
Adilabad,Potato,Whole Year,2800.56
Adilabad,Rice,Rabi,3000.0
Adilabad,Safflower,Rabi,5059.38
Adilabad,Sesamum,Kharif,11042.03
Adilabad,Soyabean,Kharif,4132.5
Adilabad,Sunflower,Rabi,5000.66
Adilabad,Turmeric,Kharif,6311.0
